Category,Template,Target VM,Maturity,Ports,Image,Description,One-click guidance,Tags
Download & ARR,Prowlarr,VM102,ready,9696,lscr.io/linuxserver/prowlarr:latest,Indexer manager for ARR stack.,,"arr, indexer, media"
Download & ARR,Radarr,VM102,ready,7878,lscr.io/linuxserver/radarr:latest,Movie management.,,"arr, movies, media"
Download & ARR,Sonarr,VM102,ready,8989,lscr.io/linuxserver/sonarr:latest,TV series management.,,"arr, tv, media"
Download & ARR,Transmission,VM102,ready,9091 51413,lscr.io/linuxserver/transmission:latest,BitTorrent client.,,"torrent, download"
Download & ARR,qBittorrent,VM102,ready,8083 6881,lscr.io/linuxserver/qbittorrent:latest,BitTorrent client.,,"torrent, download"
Gaming & Retro,Gameyfin,VM102,starter,8080,ghcr.io/gameyfin/gameyfin:latest,Game library and download/share manager.,,"games, library"
Gaming & Retro,RetroAssembly,VM102,starter,8080,arianrhodsandlot/retroassembly:latest,Browser-based retro game cabinet for personal ROM collections.,,"roms, retro, games"
Gaming & Retro,RomM,VM102,review,8080,rommapp/romm:latest,ROM library manager with metadata and browser play support. Full stack requires DB/Redis in production.,,"roms, retro, games, library"
Gaming & Retro,webRcade,VM102,external,8080,nginx:alpine,Web-based retro gaming frontend placeholder; mount built webRcade files.,,"retro, games, frontend"
Home & Family,Gramps Web,VM104,starter,5000,ghcr.io/gramps-project/grampsweb:latest,Family tree and genealogy web app.,,"family, genealogy"
Home & Family,Grocy,VM104,ready,9283,lscr.io/linuxserver/grocy:latest,"Home ERP for pantry, groceries, chores, and inventory.",,"home, erp, inventory"
Home & Family,Homebox,VM104,ready,7745,ghcr.io/sysadminsmedia/homebox:latest,Home inventory and asset manager.,,"home, inventory, assets"
Home & Family,Monica,VM104,starter,8088,monica:latest,Personal CRM.,,"crm, personal"
Media,Emby,VM102,ready,8096 8920,lscr.io/linuxserver/emby:latest,Media server alternative to Jellyfin.,,"media, video, streaming"
Media,Immich,VM102,review,2283,ghcr.io/immich-app/immich-server:release,Photo and video backup system. Full stack requires Postgres and Redis.,,"photos, media, backup"
Media,Jellyfin,VM102,ready,8096,jellyfin/jellyfin:latest,Media server.,,"media, video, streaming"
Media,Kavita,VM102,ready,5000,jvmilazz0/kavita:latest,"Reading server for manga, comics, and books.",,"books, manga, media"
Media,Komga,VM102,ready,25600,gotson/komga:latest,Comics and manga server.,,"comics, manga, media"
Media,LANraragi,VM102,ready,3000,difegue/lanraragi:latest,Archive and manga/doujin library manager.,,"manga, archive, media"
Media,LibreTV,VM102,review,8899,bestzwei/libretv:latest,Video aggregation app; source availability may be unstable.,,"media, video, unstable-source"
Media,MediaCMS,VM102,review,8089,mediacms/mediacms:latest,"Self-hosted video CMS, like a private YouTube for personal, family, learning, or dataset videos.","Production deployment may need Postgres, Redis, workers, and transcoding tuning.","video, cms, youtube-like, media"
Media,Streamyfin,VM102,external,8097,placeholder/manual,Enhanced Jellyfin client ecosystem. Usually client-side/mobile; template is a placeholder/link entry.,,"jellyfin, client, media"
Media,Suwayomi,VM102,ready,4567,ghcr.io/suwayomi/tachidesk:stable,Manga source server.,,"manga, media"
Media,Tdarr,VM102,review,8265 8266,ghcr.io/haveagitgat/tdarr:latest,"Distributed video transcoding, library optimization, and codec normalization platform.",Needs careful library path mapping and optional GPU transcoding setup.,"transcoding, video, optimization, media"
Media,TubeArchivist,VM102,review,8000,bbilly1/tubearchivist:latest,"Self-hosted YouTube archive with metadata, channel sync, subtitles, and indexing.",Needs companion services such as Redis/Elasticsearch in production; use for content you have rights to archive.,"youtube, archive, video, metadata"
Media,Unmanic,VM102,starter,8888,josh5/unmanic:latest,Simple automatic video library optimizer/transcoder.,"Easier than Tdarr, but still needs careful media path and plugin setup.","transcoding, video, optimization, media"
Monitoring,Beszel,VM101,starter,8090,henrygd/beszel:latest,Lightweight server monitoring hub.,,"monitoring, metrics, server"
Monitoring,Diun,VM101,ready,,crazymax/diun:latest,Docker image update notifier.,,"docker, updates, notifications"
Monitoring,Dozzle,VM101,ready,8081,amir20/dozzle:latest,Real-time Docker logs viewer.,,"logs, docker, monitoring"
Monitoring,GoSpeed,VM101/VM102,starter,5443,sunny0826/gospeed:latest,Network speed test / file transfer helper.,,"network, speedtest, go"
Monitoring,Grafana,VM101,ready,3003,grafana/grafana:latest,Observability dashboard platform.,,"monitoring, metrics, dashboard"
Monitoring,HertzBeat,VM101,starter,1157,apache/hertzbeat:latest,"Universal monitoring platform for HTTP, DB, network, and services.",,"monitoring, alerting"
Monitoring,Netdata,VM101,ready,19999,netdata/netdata:latest,Real-time infrastructure monitoring.,,"monitoring, metrics, realtime"
Monitoring,Uptime Kuma,VM101,ready,8125,louislam/uptime-kuma:1,Self-hosted uptime monitoring.,,"monitoring, uptime, status"
Monitoring,Watchtower,VM101,starter,,containrrr/watchtower:latest,Docker auto-update tool. Recommended notification-only mode first.,,"docker, updates"
NAS Infrastructure,Virtual DSM,VM104,review,5000 5001,vdsm/virtual-dsm:latest,Virtual Synology DSM. Requires KVM/privileged setup; experimental.,,"nas, virtualization, experimental"
Networking & Reverse Proxy,Caddy Manager,VM101,starter,8099,caddymanager/caddymanager-frontend:latest,UI for managing Caddy configuration.,,"proxy, caddy, ui"
Networking & Reverse Proxy,Caddy Server,VM101,ready,8088 8443 2019,caddy:latest,Caddy web server and reverse proxy.,,"proxy, tls, networking, go"
Networking & Reverse Proxy,Cloudflare Tunnel,VM101,ready,,cloudflare/cloudflared:latest,Cloudflare Tunnel connector.,,"tunnel, cloudflare, networking"
Networking & Reverse Proxy,LanCache,VM102,review,80 443,lancachenet/monolithic:latest,LAN cache for game/platform downloads. Requires DNS planning.,,"cache, gaming, network"
Networking & Reverse Proxy,Tailscale,All VMs,starter,,tailscale/tailscale:latest,Mesh VPN. Usually installed on host OS; Docker template included for subnet-router/container cases.,,"vpn, networking, mesh"
Office & Collaboration,Collabora CODE,VM104,ready,9980,collabora/code:latest,LibreOffice Online / Collabora document server.,,"office, libreoffice, collaboration"
Office & Collaboration,OnlyOffice Docs,VM104,ready,8086,onlyoffice/documentserver:latest,Online office document server.,,"office, documents"
Office & Collaboration,Univer,VM104,review,3010,univer-acr-registry.cn-shenzhen.cr.aliyuncs.com/release/univer:latest,Open-source office/collaboration suite. Verify upstream image for your region.,,"office, spreadsheet, collaboration"
Platform,Arcane,VM101/VM104,ready,3552,ghcr.io/getarcaneapp/arcane:latest,Modern Docker management control plane.,,"platform, docker, control-plane, go"
Platform,Arcane Agent,All Docker VMs,review,3553,ghcr.io/getarcaneapp/arcane-agent:latest,Arcane remote Docker host agent. Verify official pairing flow.,,"docker, agent, control-plane"
Search & RAG,Langfuse,VM103,review,3004,langfuse/langfuse:latest,LLM observability. Production stack requires supporting services.,,"llmops, observability, ai"
Search & RAG,LiteLLM,VM103,starter,4000,ghcr.io/berriai/litellm:main-latest,LLM gateway/proxy.,,"llm, gateway, proxy"
Search & RAG,Qdrant,VM103,ready,6333 6334,qdrant/qdrant:latest,Vector database for AI/RAG.,,"vector-db, rag, ai"
Search & RAG,SearXNG,VM103,ready,8087,searxng/searxng:latest,Privacy-respecting metasearch engine.,,"search, rag, privacy"
Security & Identity,2FAuth,VM101,ready,8001,2fauth/2fauth:latest,Self-hosted TOTP/2FA account manager.,,"2fa, totp, security"
Security & Identity,Authentik,VM101,ready,9000 9443,ghcr.io/goauthentik/server:2026.2.2,Identity provider and SSO platform.,,"sso, auth, identity, security"
Security & Identity,Safeline WAF,VM101,review,9445,chaitin/safeline-mgt:latest,Web application firewall stack. Review official multi-service compose before production.,,"waf, security, reverse-proxy"
Security & Identity,Vaultwarden,VM101,ready,8086,vaultwarden/server:latest,Lightweight Bitwarden-compatible password manager.,,"passwords, security, vault"
Storage & Files,AList,VM101/VM102,ready,5244,xhofe/alist:latest,File list and WebDAV gateway for cloud drives and local storage.,,"files, webdav, cloud-drive"
Storage & Files,BaiduNetDisk,VM102,review,5800,jlesage/baidunetdisk:latest,Baidu Netdisk desktop client in browser container.,,"cloud-drive, baidu, browser"
Storage & Files,File Browser,VM101,ready,8082,filebrowser/filebrowser:latest,Web file manager.,,"files, browser, webdav"
Storage & Files,NextExplorer,VM101,starter,8098,ghcr.io/nxzai/nextexplorer:latest,Native file browser for mounted NAS paths.,,"files, nas, browser"
Storage & Files,OpenCloud,VM101/VM102,review,9200,opencloudeu/opencloud-rolling:latest,Cloud file collaboration platform. Verify production compose before use.,,"cloud, files, collaboration"
Storage & Files,SFTPGo,VM101,ready,8080 2022,drakkan/sftpgo:latest,"SFTP, WebDAV and file transfer server.",,"sftp, webdav, files"
Storage & Sync,Resilio Sync,VM101,ready,8888 55555,lscr.io/linuxserver/resilio-sync:latest,P2P file synchronization based on BitTorrent technology.,,"sync, p2p, files"
Storage & Sync,Syncthing,VM101/VM102,ready,8384 22000,syncthing/syncthing:latest,Open-source peer-to-peer file synchronization.,,"sync, p2p, files"
